ID,Form_ID,Cognateset_ID,Alignment,Source
abui1241-fuime-tall-1-biglexstat,abui1241-fuime-tall-1,tall-1-4,l o h u,biglexstat
abui1241-fuime-dog-1-biglexstat,abui1241-fuime-dog-1,dog-1-0,k a - i -,biglexstat
abui1241-fuime-scared-1-biglexstat,abui1241-fuime-scared-1,scared-1-1,m - i e l a ŋ,biglexstat
abui1241-fuime-to_chew-1-biglexstat,abui1241-fuime-to_chew-1,to_chew-1-0,t a k e -,biglexstat
abui1241-fuime-to_laugh-1-biglexstat,abui1241-fuime-to_laugh-1,to_laugh-1-0,t a l o l e,biglexstat
abui1241-fuime-to_bite-1-biglexstat,abui1241-fuime-to_bite-1,to_bite-1-0,n e t a k a i,biglexstat
abui1241-fuime-to_fight-1-biglexstat,abui1241-fuime-to_fight-1,to_fight-1-0,t a l u k,biglexstat
abui1241-fuime-to_sit-1-biglexstat,abui1241-fuime-to_sit-1,to_sit-1-1,m i t i,biglexstat
abui1241-fuime-to_play-1-biglexstat,abui1241-fuime-to_play-1,to_play-1-0,m u i l a -,biglexstat
abui1241-fuime-to_stand-1-biglexstat,abui1241-fuime-to_stand-1,to_stand-1-0,n a t e - -,biglexstat
abui1241-fuime-deaf-1-biglexstat,abui1241-fuime-deaf-1,deaf-1-0,- - - t a w e i _ b e a k a,biglexstat
abui1241-fuime-to_pull-1-biglexstat,abui1241-fuime-to_pull-1,to_pull-1-7,h a + f i k,biglexstat
abui1241-fuime-to_sing-1-biglexstat,abui1241-fuime-to_sing-1,to_sing-1-0,j a i _ w e f a ŋ a,biglexstat
abui1241-fuime-to_smell-1-biglexstat,abui1241-fuime-to_smell-1,to_smell-1-11,m u n u ŋ r a,biglexstat
abui1241-fuime-to_come-1-biglexstat,abui1241-fuime-to_come-1,to_come-1-0,m e - -,biglexstat
abui1241-fuime-hungry-1-biglexstat,abui1241-fuime-hungry-1,hungry-1-3,m i r a i,biglexstat
abui1241-fuime-to_dig-1-biglexstat,abui1241-fuime-to_dig-1,to_dig-1-2,w e + t e u,biglexstat
abui1241-fuime-to_speak-1-biglexstat,abui1241-fuime-to_speak-1,to_speak-1-6,t a ŋ a,biglexstat
abui1241-fuime-to_sew-1-biglexstat,abui1241-fuime-to_sew-1,to_sew-1-0,k a p u i k e,biglexstat
abui1241-fuime-to_turn-1-biglexstat,abui1241-fuime-to_turn-1,to_turn-3-0,- a w a i -,biglexstat
abui1241-fuime-to_run-1-biglexstat,abui1241-fuime-to_run-1,to_run-1-0,f u r e i,biglexstat
abui1241-fuime-to_say-1-biglexstat,abui1241-fuime-to_say-1,to_say-1-0,t a ŋ - a,biglexstat
abui1241-fuime-to_drink-1-biglexstat,abui1241-fuime-to_drink-1,to_drink-1-0,i e b u k,biglexstat
abui1241-fuime-to_give-1-biglexstat,abui1241-fuime-to_give-1,to_give-1-0,- e - - d e -,biglexstat
abui1241-fuime-to_fly-1-biglexstat,abui1241-fuime-to_fly-1,to_fly-1-0,l i - -,biglexstat
abui1241-fuime-to_bathe-1-biglexstat,abui1241-fuime-to_bathe-1,to_bathe-1-0,t a - - w e l -,biglexstat
abui1241-fuime-to_shine-1-biglexstat,abui1241-fuime-to_shine-1,to_shine-1-13,h i e d e,biglexstat
abui1241-fuime-to_walk-1-biglexstat,abui1241-fuime-to_walk-1,to_walk-1-0,l a k -,biglexstat
abui1241-fuime-to_suck-1-biglexstat,abui1241-fuime-to_suck-1,to_suck-1-5,b u k,biglexstat
abui1241-fuime-alive-1-biglexstat,abui1241-fuime-alive-1,alive-1-4,r e,biglexstat
abui1241-fuime-to_eat-1-biglexstat,abui1241-fuime-to_eat-1,to_eat-1-0,- n e - -,biglexstat
abui1241-fuime-to_divide-1-biglexstat,abui1241-fuime-to_divide-1,to_divide-1-0,h a w a l -,biglexstat
abui1241-fuime-to_tie-1-biglexstat,abui1241-fuime-to_tie-1,to_tie-1-0,h a + k o d e -,biglexstat
abui1241-fuime-to_hunt-1-biglexstat,abui1241-fuime-to_hunt-1,to_hunt-1-6,h e t i e i,biglexstat
abui1241-fuime-to_kill-1-biglexstat,abui1241-fuime-to_kill-1,to_kill-1-0,- - - t e f e h e ŋ,biglexstat
abui1241-fuime-to_scratch-1-biglexstat,abui1241-fuime-to_scratch-1,to_scratch-1-0,- k a f i e -,biglexstat
abui1241-fuime-itchy-1-biglexstat,abui1241-fuime-itchy-1,itchy-1-2,n o + j o k u ŋ,biglexstat
abui1241-fuime-to_dream-1-biglexstat,abui1241-fuime-to_dream-1,to_dream-1-0,p i - e i l a,biglexstat
abui1241-fuime-to_lie_down-1-biglexstat,abui1241-fuime-to_lie_down-1,to_lie_down-1-0,t a - -,biglexstat
abui1241-fuime-to_split-1-biglexstat,abui1241-fuime-to_split-1,to_split-1-0,k a d e l -,biglexstat
abui1241-fuime-to_throw-1-biglexstat,abui1241-fuime-to_throw-1,to_throw-1-0,h u o r e,biglexstat
abui1241-fuime-to_choose-1-biglexstat,abui1241-fuime-to_choose-1,to_choose-1-1,- - a h i e,biglexstat
abui1241-fuime-blind-1-biglexstat,abui1241-fuime-blind-1,blind-1-0,a k u t a,biglexstat
abui1241-fuime-to_bark-1-biglexstat,abui1241-fuime-to_bark-1,to_bark-1-0,n o u l o u,biglexstat
abui1241-petle-clothing-1-biglexstat,abui1241-petle-clothing-1,clothing-1-3,n a m a ŋ,biglexstat
abui1241-petle-scabies-1-biglexstat,abui1241-petle-scabies-1,scabies-1-0,k u r a l,biglexstat
abui1241-fuime-grandfather-1-biglexstat,abui1241-fuime-grandfather-1,grandfather-1-9,n e t u ŋ,biglexstat
abui1241-fuime-four-1-biglexstat,abui1241-fuime-four-1,four-1-0,b u - - t i,biglexstat
abui1241-fuime-to_squeeze-1-biglexstat,abui1241-fuime-to_squeeze-1,to_squeeze-3-0,k a m - e l e,biglexstat
abui1241-petle-machete-1-biglexstat,abui1241-petle-machete-1,machete-2-0,s a p a d a -,biglexstat
abui1241-petle-teeth-1-biglexstat,abui1241-petle-teeth-1,teeth-1-1,- - i - t i ŋ,biglexstat
abui1241-petle-door-1-biglexstat,abui1241-petle-door-1,door-1-0,l u ŋ,biglexstat
abui1241-fuime-three-1-biglexstat,abui1241-fuime-three-1,three-1-0,s u - a -,biglexstat
abui1241-petle-tomorrow-1-biglexstat,abui1241-petle-tomorrow-1,tomorrow-1-1,a r j a,biglexstat
abui1241-petle-fruit-1-biglexstat,abui1241-petle-fruit-1,fruit-1-0,- u p u,biglexstat
abui1241-petle-sky-1-biglexstat,abui1241-petle-sky-1,sky-1-1,- a d i,biglexstat
abui1241-petle-man-1-biglexstat,abui1241-petle-man-1,man-1-1,n e - ŋ,biglexstat
abui1241-fuime-five-1-biglexstat,abui1241-fuime-five-1,five-1-0,- - - j e t i ŋ,biglexstat
abui1241-fuime-to_open-1-biglexstat,abui1241-fuime-to_open-1,to_open-1-1,- - - - - h a l i - e l,biglexstat
abui1241-petle-year-1-biglexstat,abui1241-petle-year-1,year-1-0,t u - - ŋ,biglexstat
abui1241-fuime-eight-1-biglexstat,abui1241-fuime-eight-1,eight-1-0,j - - e t i - _ s u a,biglexstat
abui1241-fuime-one_hundred_thousand-1-biglexstat,abui1241-fuime-one_hundred_thousand-1,one_hundred_thousand-1-0,r i f i _ - a - s a h a _ n u k u,biglexstat
abui1241-fuime-twenty-1-biglexstat,abui1241-fuime-twenty-1,twenty-1-0,k a r _ - a j o k u -,biglexstat
abui1241-fuime-to_climb-1-biglexstat,abui1241-fuime-to_climb-1,to_climb-1-0,h o ŋ _ m i r a,biglexstat
abui1241-fuime-to_call_out-1-biglexstat,abui1241-fuime-to_call_out-1,to_call_out-1-0,- i r,biglexstat
